Please specify your campus,Please specify your programme,1 - Did the class meet your expectations?,Please share your comments,2 - Was the professor's quality of expression good?,Please share your comments,3 - Was the class content clearly expressed?,Please share your comments,4 - Did the professor answer your questions clearly?,Please share your comments,5 - What do you think of the class difficulty?,Please share your comments,6 - What did you most appreciate about the professor's class?,7 - What did you least appreciate about the professor's class?,8 - What are the main take-aways (what did you learn)?,9 - Did the professor explain why the class is important for the DSTI programme?,Please share your comments,10 -  Is there anything you would have liked to have seen during the class that wasn’t covered?,"11 -Thank you for your reply, if you have any other comment please state them below"
Off-campus,Applied MSc in Data Science & AI,"Yes, partially","I tried on my own to learn some statistics and probability, but this course introduce those tools with a much more logic progress ! However, the course was very often too fastly presented.","Yes, absolutely",No more comments.,"Yes, absolutely",The course followed the support slides.,"Yes, absolutely",All the questions have been answered.,Very hard,Very hard because course was fastly presented and the transition from slides examples to black board examples also very rapid,The logical progression in the concepts of statistics.,The too much fast pace.,"Probability results (Bayes theorem, independance), single and multiple random variables (CDF, PMF and PDF and Chebychev inequality), random samples and statistics on it, and finally the numbers law ","Yes, partially",He explained that those concepts were bricks of more complex tools which we will discover.,"No, but I didn't really know the statistics. ","I would have prefered maybe less examples, but treated more slowly in order to have enough time to ask myself questions, and not just agree with the professor."
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, partially",,"Yes, partially",,Average,,"Fluent English.
Course well structed, logical progression of the chapters/topics.
Reference to a very good textbook.","Quite fast-paced: the teacher obviously knows his topic and explains it very fast, sometime a little bit too fast...
Not enough practice exercises to make sure we understand the concepts described in class (and the textbook only gives some answers to some exercises but without detailed explanations of how to get to the result...)",Random Variables and Multiple random Variables,"Yes, absolutely",,"Revision of basic probability and statistics before starting with the more complex topics: maybe could be done during the Bootcamp (during the Bootcamp we only did a little bit of combinatorics, no probabilities nor statistics).",
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, partially",I did not understand R as I would like to,"Yes, absolutely",,Average,,He knew his topic and was clear ,Anything,"I learned statistic, probability and the basic of R","Yes, absolutely",,I would like to learn more in R,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",Yes the Class really met my expectation. It was an adventure of a lifetime,"Yes, absolutely",The professor's quality was very phenomenon and and a  world class professors. It is the best class I have ever attended.,"Yes, absolutely",The content of the class was clearly express in detailed.,"Yes, absolutely",Yes the question were answered in detailed.,Average,I will rate the class duifficulty as average.,They are world class professors and they know what they teach,Not applicable,I have learnt a lot as compared to my previuous education.,"Yes, absolutely",Yes the importance of the class was explain deligently to my understanding.,Everything was satisfy,Not appplicable
Off-campus,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,Good explanation of the theory.,"Class was very fast. Even if you have a background in Statistics, it was'nt obvious.",Another approach for dealing with statistics,"Yes, absolutely",,RAS,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",I think we got most of the important concepts and formulas to be ready enough for FSML 2,"Yes, absolutely","Perfect (sometimes I misheard some words, but that's because of my level of English:) because at moments he spoke fast)","Yes, absolutely","Yes, everything was clearly explained and the slides were pretty clear too","Yes, absolutely","Yes, he took pertinent examples to answer the questions",Average,Many many concepts to memorize and have to know how to play with them without mistake,"The architecture of the course was good, that was concise, the slides were clearly written, and the examples were pertinent","Some of the examples.. such like ""The probability you have HIV"", ""The probability you have breast cancer"" etc... I started to feel dizzy at a moment after combo of these kind of examples... ","Which formula(s) to use for which kind of case, Scripts in R","Yes, partially",Yes but a bit more would have been nice,"I have no idea, I think it's enough. Also there's still one session left for FSML1",It was nice !
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"No, it wasn't clear","- Very bad handwriting
- Language was not clear
- Most of the time, he was just reading form slides and move to another without 
  giving a clear example or sometimes reads the example and move on.  
- Jumping between theory blackboard, examples and R, which made me very 
  distracted

Noting that I 'm very familiar with the contents of this course before, the quality of expressions made things that I used to know before not clear anymore!
","No, it wasn't clear",,"Yes, partially",,Average,,The content of the class is very useful in real life,"- The distraction with theory, slides, examples, blackboard, R
- Should be moving gently between all of these; first, theory then step by step 
  examples on black board, then R
- Regarding the MCQ I did not understand why there are (-2) points for the wrong 
  answer!",Continuous Random Variables is a new topic for me,"Yes, partially",,no,
Paris,Applied MSc in Data Engineering for AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Average,,He was punctual ,The note board wasn’t clear enough.,Statistics ,"Yes, absolutely",,No,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Hard,,Emphasis on practice problems,"The professor didn't work out all the examples, he used, while teaching","Basic descriptive statistics, conditional probability, random variables","Yes, absolutely",,N/A,
Paris,Applied MSc in Data Science & AI,"Yes, partially",Important subject ,"No, it wasn't clear",Problem with the pedagogy. Lack of the explanation on the black board,"Yes, partially",,"Yes, partially",,Average,,He did the preparation of the course ,lack of pedalogy,i retaiend that the subject is important for Data Scientist,"Yes, partially",,more explanation with many exercices,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",It was a great course even if one last day was separated from the rest ,"Yes, absolutely","Professor speaks clearly and is using funny phrases sometimes, like “easy peasy”, “brain fart” etc it adds flavor to the lectures ","Yes, partially","Sometimes I had an impression that professor explained simple things in a difficult way, although his habit of making recaps is excellent and helps to understand if we didn’t from the first time","Yes, absolutely",Professor always took time to answer questions whether they were in the chat or vocal,Average,"I find the topic itself interesting, so I read myself apart from classes. I’m glad we practiced a lot during the course and professor gave us a lot of material as well as problems to solve. ",I dearly appreciated the recap habit of Professor Di Narzo. Monty Hall problem explanation :) The fact that he gave us a sample exam and walked us over all the exercises with explanations. This is priceless. ,Unfortunately it was hard first days to keep up with professor because of constant jumping from presentation into R Studio and back and forth. Sometimes it was too fast but he did slowed the pace once we asked him ,"I learned basic statistics terms and graphs, mainly we were dealing these days with probability theory: expected value, sample set, events, random values, stochastic processes etc","Yes, absolutely",Yes Professor has even shared with us some information in bio project he is working on ,I wouldn’t add anything else ,Thank you!
Sophia,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,The numerous exercices made in class ,Nothing ,"Basics of descriptive statistics, and then probability theory with random variable and multiple variable courses ","Yes, absolutely",,More statistics/probability cases/Exercices on R/Python,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",The class did cover everything about probability,"Yes, absolutely",The professor was very clear,"Yes, absolutely",The content expression and order was very good,"Yes, absolutely",The professor answered all questions,Average,The class content is easy but may have hard applications if the professor wants to,The professor is excelllent in explaining,Nothing,Probabiloty in english,"Yes, absolutely",Its important fir fsml part 2,No,
Sophia,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,Average,,The class is very practical with real life cases,The descriptive statistics part was shorter,"I understood both  principles and  how to compute probabilities 
","Yes, absolutely",,Nothing special, 
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Average,,Explanations was clear,Anything,Statistics concept and probabitlity,"Yes, partially",,May be more on the topic,
Paris,Applied MSc Data Analytics,"Yes, partially",Class was good but need some exercise sheet so that we can practice,"Yes, absolutely",professor's quality of expression was good,"Yes, partially","Yes, but the noted provided should have more theoretical portion so that we don't have to listen to the recorded video ","Yes, absolutely",Professor answered all the doubts clearly.,Average,"I am facing issue with the exercises, maybe will get clarity after practicing more",Professors way of explanation was nice and in good pace.,we should be provided with the exercise with explained solution so that we can build our confidence towards the subject. ,"I learned probability theory, random variables etc","Yes, absolutely",Professor explained the purpose of the subject.,It's just the notes and the exercise sheet.,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,It was clearer at the end for me (thanks to the possibility of having time to repeat the whole course between the two sessions),Very good illustrating examples,Nothing in particular.,"Multiple Random Variables, Convergence, Probability theory, Stochastic processes, Illustrations in R","Yes, absolutely",,Nope,I am not sure I sent my survey the first time. So I prefer do it again. 
Off-campus,Applied MSc in Data Science & AI,"Yes, partially","The professor was very knowledgeable, he explained all the concepts and gave lots of examples which I found helpful. The only thing I found confusing was he didn't follow the slideshow in order, sometimes skipping slides and going back and forward which was a bit confusing, also sometimes introduced concepts and explained them before saying we did not need to know it. ","Yes, absolutely",I found the professor clear and easy to understand. ,"Yes, partially","Yes all the concepts introduced were well explained, as aforementioned my only issue was the structure and ordering of the class being disorganised.","Yes, absolutely",Yes questions were always answered in detail.,Average,"Some parts were easy and trivial,  and others were significantly harder so overall average.",The numerous examples given helped understand the concepts better.,The jumping back and forward between topics.,Better understanding of probability theory.,"Yes, partially",Was mentioned how we would use the subject being taught in later modules.,No.,
Off-campus,Applied MSc in Data Engineering for AI,"Yes, partially",,"Yes, partially",,"No, it wasn't clear",,"Yes, partially",,Hard,,The practise sessions,The content wasn't clear,I got to appreciate statistics,"Yes, absolutely",,N/A,
Paris,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,I appreciated his real life application additions.,"I thought that it was a bit slow, but I also have much statistics experience.","I enjoyed the theoretical and real life applicability to the concepts of the course, as a new way of seeing statistics to expand the knowledge I already had.","Yes, absolutely",,No,
Off-campus,Applied MSc in Data Engineering for AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,Quality,Sometimes hard to understand theory-based maths concepts,Distinct approaches in Statistics,"Yes, partially",,.,
Off-campus,Applied MSc Data Analytics,"No, it wasn't clear","The theorethical part was not well structured and not enough detailed, especially for ""Foundamentals"" course.","No, it wasn't clear","I felt the pace not really adapted, and missing the details like physical sence of terms.","No, it wasn't clear",,"No, it wasn't clear",I didn't ask questions myself but answers for others were not always clear for me.,Average,The subject is not too difficult itself but to follow this class in existing form needs to read basic theory chapters before. ,"Really great practical examples, case studies and R code part.",The theoretical part.,To go and read the textbook..,"Yes, absolutely",,Not from content but from a form.,"If the content of this class could be announced with asking to read a texbook before it started, we could really benefit from prof's extraordinal practical experience."
Sophia,Applied MSc in Data Science & AI,"Yes, absolutely",I believe he covered everything that I would consider to be a foundational statistics topic.,"Yes, absolutely",,"Yes, partially","The first lesson was a struggle, reading the hand writing and the shuffle between slides and the blackboard was problematic. However, there was an improvement and a flow that was achieved.","Yes, absolutely",,Hard,"The content wasn't new for me, I just need to spend time revising the work.",I always enjoy having real life applications during class. The case study and the use of R was good for me.,"Learning about the negative marking, I'm not sure of its purpose in teaching and learning.",I saw the class as a statistics refresher which is required before we go deeper in the coming months.,"Yes, absolutely",,"I noticed that we worked really fast on day 3 and 4, only to have lots of extra time on day 5 of the course. It would be good to space out the content, working slower, giving breaks when needed. The quantity over quality balance needs to be revisited.",
Off-campus,Applied MSc Data Analytics,"No, not at all","I never did statistics before, the class went way fast, all about mathematics calculation. I had the feeling we were running and that I was stucked","Yes, partially",,"No, it wasn't clear",I would have appreciated to learn some basics of statistics and understand why we need to compute the different calculations... no we've deep diving directly,"Yes, partially","I could ask some questions when I could understand, so... not much",Very hard,"No comment, a nightmare",Nothing,"It has been a real nightmare, I am very disapointed about this class. A chinese lass would have been way easier for me. And I am not joking",No comment / read above,"No, it wasn't clear",,"Basics of statistics, simple computations, use of different rules on a work project to understand the interest of this programm.","I am very disappointed about this class. I have the feeling I didn't understand anything and that I can't make it. Even on working on my side, with no mathematics / statistics background I don't know what to do. The feeling that the teacher is running when you learn how to walk is completly frustrating. We can discuss about it if you want. In my opinion I hated this class."
Paris,Applied MSc in Data Science & AI,"Yes, partially",Hard to follow on R as it wasn't taught before and the course used advanced scripting and functions,"Yes, partially",It could've been more engaging by using slides or blackboards completely. Constant change made it hard to focus,"Yes, partially",,"Yes, absolutely",,Hard,,The content and planning of the class were really great and the professor explained from the practical point of view,"- Pedagogy: The concepts covered today were familiar to some of us, however the instruction haphazardly jumped from topics ⇾ examples ⇾ R, which made the simpler topics seem complex. Like Pr Auroux, it would be better to explain first, take examples on board - have a Q&A and then move to explain it in R

- Examples: It would be extremely helpful to take fewer examples and explain step by step on blackboard and then transit to R at a slower pace as many of us don't have an R background

- Blackboard: An stylus based tablet/laptop will easier for the professor to write and us to understand what is written, so the blackboard notes would be helpful for a long-time

- Time split between theory & R: As I understand it's the foundation course on Statistics and its final assessment will be taken as MCQ like previous course, it would be better to give theory and solving problems on blackboard/slides more proportion of the class than practising more examples on R","Foundational understanding of probability, distribution and density functions","Yes, absolutely",,"Fewer examples. Basics of R without jumping on scripts, functions and complex problems ",
Paris,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, partially",The jumps between R and the class itself may have complicated the explanation of very simple and already known concepts,"Yes, partially",,Average,,"The many recaps, examples, and illustrations of concepts with funny videos.","The use of R Studio while explaining certain concepts may have been a bit too much, i would have liked if we had a morning or an afternoon dedicated to the use of R in descriptive statistics and probabilites. ","Descriptive statistics, probabilites, random variables refresh, theory of multidimensional random variables.","Yes, partially",,a dedicated period of time about how to use R in statistics,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, absolutely",,"Yes, partially",,Average,"The notation between the course and the book are different, sometimes and it can be ""disturbing"". ","The clarity of his powerpoint. 
The summary done after each part of the course.
Examples in R",Nothing!,"Conditionnal probabilities
Random variables","Yes, partially",,No,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,"The practical examples and exercices, the pdf, a well structured course, with recap.","I was a bit frustrated by the last Wednesday afternoon, because the teacher explained us the code he wrote on R, but we did not have time to learn by ourselves. An option should be that the teacher explains us very quickly what he did (with a lot of comments in his code), and tells us to have a look at it afterwards, and this should not last more than 15 min. Another option that I would have preferred is that he gives us a program to complete ourselves, with indications on how to fill the missing parts (ex: first create a vector for ..., then use this function, and let us search for the good parameters, etc...), and we make the correction together afterwards. 
General comment is that we don't have time to watch all the recordings after the courses, therefore during the course time we should be able to learn a maximum, and the teacher should not go too fast (he was often saying: you have the recordings...). The right pace is when he writes on the blackboard (ex during exercices), otherwise he is going too fast on slides.",How to solve (simple) problems with probabilities,"Yes, absolutely",,Some R practical session,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",the language is a bit hard to understand ,"Yes, partially",lack of enthusiasm ,"Yes, absolutely",,Hard,,the order and structure of giving the info ,the lack of enthusiasm in explaining ,"probability theory , descriptive statistics , Random variables ","No, it wasn't clear",,how is it used in data science ,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, partially",,"Yes, absolutely",,Average,,Topics he choose,Skipping basic explanation on some topics,Probability theory,"Yes, absolutely",,More problems can be solved in board than explaining from the slides,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,"progression, nice examples of real life cases , some times counter intuitives. The slides of the course where availables in the moodle from the start of the class and it was helpful. Antonio had well prepared his class","Some of us were a little lost during the Monday class using R studio, because the purpose of these exercises were perhaps not enough explained. ","sample spaces, main tools and recall about probabilities and statistics","Yes, absolutely",,We could have gone further into the distribution laws,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",I felt that we covered most of the topics in statistics in theory and in practice. ,"Yes, partially",,"Yes, partially",I felt a bit lost especially in the first two days since we went through theory example and R exercises quite quickly. ,"Yes, partially",,Average,I've learned some of the concepts but I felt that in the course they are expressed in pure mathematical terms which is more theoretical to understand. ,The mix between theory and demonstration in R,A few more examples or exercises would help to understand the concepts better,"Descriptive statistics and demonstration in R, probability theory, random variables (distributions, expectations, variance), multidimensional random variables","Yes, absolutely",,More concrete examples,
Sophia,Applied MSc Data Analytics,"Yes, partially",It was manageable to follow at the beginning but by the 3rd day it was quite complex.,"Yes, absolutely",Prof Narzo knew his material and had the relevant industry experience . He frequently gave insight to this during the class which was useful to me.,"No, it wasn't clear","I'll sum my opinions into 3 
1. The pace of the class was quite fast and we noted this to him often
2. I believe he might not be used to the remote teaching materials very much. The use of the black board was hard for us to follow.
3. The class content seemed to be muddled up especially in the middle. It was hard to understand how each concept flowed into what.","Yes, absolutely","Yes questions was answered , the concern might be that the right ones were not asked. ",Average,"I'll say between hard to average. In the class it looked quite hard, but looking at the materials afterwards, it was ok to follow. So Statistics isn't that complicated.",How he brought in his industry experience to the concepts. ,The pace of the class and the structure.,"1. The relevance of R Studio
2. How the mathematical concepts come to life in a sample data 
3. All part of a data set are not relevant in making a decision as they might be redundant or duplicates.","Yes, absolutely",,I believe I'll be able to answer this better when I begin my internship and I see some tools I should have learnt. The curriculum shows we have other related subjects coming up like data wrangling and advanced excel. So those will cover any other thing I think is important.  ,None for now
Paris,Applied MSc in Data Science & AI,"Yes, partially","The class covered the foundations of probability and statistics, however it lacked more content and structure at some points.","Yes, partially",,"Yes, partially","The class lacked some structure, especially the first day which was messy. The teacher should have given enough time explaining concepts first, give some examples, the do applications with R. An example of a successful day that included applications in R is the last day with the study case.","Yes, absolutely",The professor answers all questions with attention. There's no stupid question.,Average,"The content was easy, the applications with R were a little bit difficult because the professor didn't explain the R functions syntax and how they work. ",The case study in the last day.,Lack of explanation regarding R functions.,"Refresh of descriptive statistics and probability theory. 
Refresh on discrete and continuous random variables.
Chebyshev's inequality.
Stochastic processes and convergence notion.
Applications with R.","Yes, absolutely",,A section dedicated to the different families of discrete and continuous random variable.,
Paris,Applied MSc in Data Science & AI,"Yes, partially",It was a difficult class with a lot of definitions and not much exercices to illustrate what was defined. One thing that made it difficult to follow was the lack of information given on slides on parameters used in mathematical formulas.,"Yes, partially",The English was good and understandable. ,"Yes, partially",The pace was high and slides were sometimes too minimalistic to correctly understand definitions given. ,"Yes, partially",,Hard,See comments above. ,Real case exemple.,"Too few exercices, slides too minimalist sometimes (missing information on parameters used in mathematical formulas given). ","Statistical position/variation/symmetry indexes definition, density, probability, conditional probability, Bayes theorem, random variable properties, distributions, convergence  ","Yes, absolutely",,Maybe less R case studies and more exercices to understand given definitions.  ,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, partially",,"Yes, partially",,"Yes, absolutely",,Average,,The basis on probability theory was explained very clearly and included a detailed and comprehensive presentation that is a excellent basis for learning,"The first day were R was used intensely was very difficult to follow, because I didn't had prior training in R and learning R was not included on the bootcamp. ",My main take-away is the contents of probability theory ,"Yes, absolutely",,"I believe all the topics of an introductory course on this area were covered. 

Would like to learn how to use R, but this is out of the scope of this class. Should had been included on the bootcamp or some specific labs.",